fag;muntlig;skriftlig1;dato1;skriftlig2;dato2
Biologi 1;REA3035;;;;
Biologi 2;REA3037;REA3036;Ikke publisert enda;;
Engelsk vg1;ENG1008;ENG1007;Ikke publisert enda;;
Engelsk 1 Programfag;SPR3030;SPR3029;Ikke publisert enda;;
Engelsk 2 Programfag;SPR3032;SPR3031;Ikke publisert enda;;
Fransk I Fellesfag;FSP6150;FSP6149;Ikke publisert enda;;
Fransk I Programfag;PSP5797;PSP5796;Ikke publisert enda;;
Fransk II Fellesfag;FSP6153;FSP6152;Ikke publisert enda;;
Fransk II Programfag;PSP5799;PSP5798;Ikke publisert enda;;
Fransk III Programfag;PSP5801;PSP5800;Ikke publisert enda;;
Fysikk 1;REA3038;;;;
Fysikk 2;REA3040;REA3039;;Fre 27.nov 2026;;
Geofag 1;REA3042;;;;
Geofag 2;REA3044;REA3043;;Ons 18.nov 2026;;
Geografi;GEO1003;;;;
Historie påbygg;HIS1011;;;;
Historie vg3 (studiespes);HIS1010;;;;
Kjemi 1;REA3045;;;;
Kjemi 2;REA3047;REA3046;Ikke publisert enda;;
Kroppsøving vg3;KRO1019;;;;
Markedsføring og ledelse 1;SAM3045;;;;
Markedsføring og ledelse 2;;SAM3046;Ikke publisert enda;;
Matematikk 1P;;MAT1019;Ikke publisert enda;;
Matematikk 1PY HS;;MAT1117;Ikke publisert enda;;
Matematikk 1T;;MAT1021;Ikke publisert enda;;
Matematikk 2P;;MAT1023;Ikke publisert enda;;
Matematikk 2PY;;MAT1151;Ikke publisert enda;;
Matematikk R1;;REA3056;Ikke publisert enda;;
Matematikk R2;;REA3058;Ikke publisert enda;;
Matematikk S1;;REA3060;Ikke publisert enda;;
Matematikk S2;;REA3062;Ikke publisert enda;;
Medie- og informasjonskunnskap 1;SAM3048;;;;
Medie- og informasjonskunnskap 2;;SAM3049;Ikke publisert enda;;
Naturfag påbygg;NAT1018;;;;
Naturfag vg1 studiespes;NAT1007;;;;
Naturfag vg1 yrkesrettet HS;NAT1011;;;;
Norsk studiespes;NOR1269;NOR1267 - Hovedmål;Ikke publisert enda;NOR1268 - Sidemål;Ikke publisert enda
Norsk påbygg;NOR1272;NOR1270 - Hovedmål;Ikke publisert enda;NOR1271 - Sidemål;Ikke publisert enda
Norsk kort botid påbygg;NOR1423;NOR1422;Ikke publisert enda;;
Norsk kort botid studiespes;NOR1421;NOR1420;Ikke publisert enda;;
Psykologi 1 ;SAM3072;;;;
Psykologi 2;;SAM3073;Ikke publisert enda;;
Religion;REL1003;;;;
Rettslære 1;SAM3057;;;;
Rettslære 2;;SAM3058;Ikke publisert enda;;
Samfunnsgeografi;SAM3053;;;;
Samfunnskunnskap;SAK1001;;;;
Sosiologi og sosialantropologi;SAM3054;;;;
Sosialkunnskap;;SAM3051;Ikke publisert enda;;
Spansk I fellesfag;FSP6220;FSP6219;Ikke publisert enda;;
Spansk I programfag;PSP5827;PSP5826;Ikke publisert enda;;
Spansk II fellesfag;FSP6223;FSP6222;Ikke publisert enda;;
Spansk II programfag;PSP5829;PSP5828;Ikke publisert enda;;
Spansk III Programfag;PSP5831;PSP5830;Ikke publisert enda;;
Tannhelsesekretær - Smittevern, tannanatomi og fysiologi;;TAN3005;Ikke publisert enda;;
Tannhelsesekretær - Kommunikasjon og samhandling;;TAN3006;Ikke publisert enda;;
Tannhelsesekretær - Yrkesliv i tannhelsesekretærfaget;;TAN3007;Ikke publisert enda;;
Tannhelsesekretær - Tverrfaglig eksamen;TAN3008;;;;
Tysk I programfag;PSP5839;PSP5838;Ikke publisert enda;;
Tysk I fellesfag;FSP6240;FSP6239;Ikke publisert enda;;
Tysk II fellesfag;FSP6242;FSP6242;Ikke publisert enda;;
Tysk II programfag;PSP5841;PSP5840;Ikke publisert enda;;
Tysk III programfag;PSP5843;PSP5842;Ikke publisert enda;;
